,Predicted
0,suicidal
1,bipolar
2,anxiety
3,PTSD
4,anxiety
5,PTSD
6,control
7,anxiety
8,suicidal
9,PTSD
10,suicidal
11,depression
12,depression
13,depression
14,depression
15,depression
16,eating disorder
17,PTSD
18,depression
19,eating disorder
20,eating disorder
21,suicidal
22,PTSD
23,eating disorder
24,depression
25,suicidal
26,depression
27,depression
28,eating disorder
29,bipolar
30,depression
31,PTSD
32,PTSD
33,bipolar
34,eating disorder
35,suicidal
36,anxiety
37,suicidal
38,bipolar
39,anxiety
40,control
41,depression
42,depression
43,PTSD
44,depression
45,depression
46,suicidal
47,bipolar
48,PTSD
49,suicidal
50,schizophrenia
51,PTSD
52,depression
53,anxiety
54,depression
55,depression
56,PTSD
57,PTSD
58,depression
59,schizophrenia
60,eating disorder
61,depression
62,suicidal
63,suicidal
64,eating disorder
65,control
66,PTSD
67,eating disorder
68,control
69,depression
70,schizophrenia
71,bipolar
72,suicidal
73,PTSD
74,anxiety
75,PTSD
76,suicidal
77,depression
78,PTSD
79,depression
80,depression
81,depression
82,PTSD
83,depression
84,control
85,anxiety
86,PTSD
87,PTSD
88,schizophrenia
89,bipolar
90,suicidal
91,eating disorder
92,suicidal
93,PTSD
94,eating disorder
95,schizophrenia
96,eating disorder
97,depression
98,eating disorder
99,depression
100,PTSD
101,PTSD
102,eating disorder
103,eating disorder
104,depression
105,PTSD
106,bipolar
107,depression
108,PTSD
109,PTSD
110,schizophrenia
111,eating disorder
112,anxiety
113,eating disorder
114,PTSD
115,eating disorder
116,depression
117,depression
118,depression
119,suicidal
120,depression
121,depression
122,depression
123,eating disorder
124,schizophrenia
125,control
126,depression
127,eating disorder
128,PTSD
129,PTSD
130,schizophrenia
131,depression
132,suicidal
133,depression
134,depression
135,bipolar
136,suicidal
137,PTSD
138,PTSD
139,anxiety
140,bipolar
141,depression
142,anxiety
143,control
144,anxiety
145,PTSD
146,depression
147,eating disorder
148,depression
149,depression
150,PTSD
151,eating disorder
152,suicidal
153,suicidal
154,depression
155,eating disorder
156,depression
157,schizophrenia
158,eating disorder
159,anxiety
160,bipolar
161,bipolar
162,schizophrenia
163,PTSD
164,depression
165,PTSD
166,PTSD
167,depression
168,schizophrenia
169,depression
170,depression
171,eating disorder
172,control
173,bipolar
174,depression
175,depression
176,eating disorder
177,PTSD
178,PTSD
179,depression
180,depression
181,eating disorder
182,anxiety
183,bipolar
184,depression
185,PTSD
186,suicidal
187,PTSD
188,schizophrenia
189,depression
190,control
191,control
192,schizophrenia
193,bipolar
194,anxiety
195,bipolar
196,bipolar
197,eating disorder
198,PTSD
199,PTSD
200,eating disorder
201,control
202,depression
203,schizophrenia
204,eating disorder
205,anxiety
206,depression
207,suicidal
208,bipolar
209,depression
210,anxiety
211,anxiety
212,PTSD
213,schizophrenia
214,PTSD
215,schizophrenia
216,depression
217,anxiety
218,depression
219,control
220,anxiety
221,depression
222,bipolar
223,depression
224,eating disorder
225,PTSD
226,depression
227,eating disorder
228,depression
229,PTSD
230,schizophrenia
231,depression
232,PTSD
233,depression
234,depression
235,eating disorder
236,PTSD
237,bipolar
238,bipolar
239,suicidal
240,schizophrenia
241,anxiety
242,PTSD
243,suicidal
244,suicidal
245,PTSD
246,PTSD
247,bipolar
248,anxiety
249,PTSD
250,control
251,anxiety
