,Predicted
0,4
1,6
2,0
3,0
4,4
5,1
6,7
7,6
8,2
9,0
10,3
11,3
12,3
13,3
14,3
15,3
16,6
17,0
18,3
19,6
20,6
21,0
22,0
23,6
24,3
25,3
26,3
27,1
28,6
29,4
30,3
31,0
32,3
33,3
34,7
35,3
36,3
37,2
38,0
39,1
40,7
41,4
42,3
43,0
44,3
45,3
46,7
47,2
48,3
49,3
50,0
51,0
52,5
53,1
54,3
55,3
56,0
57,6
58,3
59,1
60,6
61,4
62,2
63,2
64,6
65,7
66,0
67,6
68,7
69,3
70,3
71,4
72,2
73,5
74,3
75,3
76,2
77,3
78,0
79,3
80,3
81,5
82,0
83,3
84,3
85,3
86,0
87,0
88,5
89,3
90,2
91,6
92,2
93,4
94,6
95,4
96,6
97,3
98,6
99,4
100,0
101,0
102,6
103,6
104,3
105,0
106,1
107,1
108,0
109,3
110,3
111,6
112,1
113,6
114,0
115,0
116,4
117,3
118,0
119,2
120,3
121,3
122,2
123,5
124,0
125,0
126,4
127,6
128,0
129,0
130,0
131,7
132,2
133,3
134,3
135,4
136,3
137,3
138,0
139,1
140,5
141,5
142,1
143,7
144,1
145,0
146,3
147,6
148,3
149,2
150,0
151,0
152,3
153,2
154,3
155,3
156,3
157,3
158,6
159,4
160,4
161,3
162,6
163,3
164,4
165,0
166,0
167,3
168,5
169,0
170,3
171,6
172,7
173,5
174,3
175,3
176,6
177,2
178,3
179,3
180,3
181,6
182,1
183,4
184,4
185,0
186,2
187,0
188,0
189,3
190,6
191,7
192,0
193,0
194,1
195,0
196,4
197,6
198,4
199,3
200,1
201,7
202,3
203,0
204,6
205,1
206,3
207,2
208,4
209,3
210,1
211,1
212,4
213,5
214,0
215,3
216,6
217,3
218,3
219,4
220,1
221,4
222,3
223,3
224,0
225,0
226,2
227,6
228,3
229,2
230,6
231,4
232,0
233,3
234,3
235,2
236,0
237,3
238,4
239,3
240,5
241,3
242,0
243,0
244,3
245,0
246,5
247,4
248,1
249,0
250,3
251,1
252,3
253,0
254,7
255,3
256,5
257,4
