,Predicted
0,0
1,6
2,1
3,0
4,4
5,0
6,7
7,6
8,2
9,0
10,2
11,7
12,4
13,3
14,3
15,3
16,6
17,0
18,3
19,6
20,6
21,0
22,0
23,6
24,3
25,2
26,3
27,3
28,6
29,4
30,3
31,0
32,0
33,4
34,6
35,3
36,3
37,2
38,4
39,1
40,7
41,3
42,3
43,0
44,3
45,3
46,2
47,4
48,0
49,2
50,0
51,0
52,3
53,1
54,3
55,3
56,0
57,0
58,2
59,5
60,6
61,3
62,2
63,2
64,6
65,7
66,0
67,6
68,7
69,3
70,5
71,4
72,2
73,0
74,1
75,3
76,2
77,2
78,0
79,0
80,3
81,0
82,0
83,6
84,6
85,2
86,0
87,0
88,5
89,4
90,2
91,6
92,3
93,4
94,6
95,5
96,6
97,3
98,6
99,3
100,0
101,0
102,6
103,6
104,2
105,0
106,0
107,1
108,0
109,0
110,5
111,6
112,1
113,6
114,0
115,6
116,3
117,3
118,0
119,2
120,0
121,3
122,4
123,6
124,5
125,0
126,3
127,0
128,0
129,0
130,5
131,3
132,2
133,3
134,3
135,4
136,2
137,6
138,1
139,1
140,4
141,3
142,1
143,7
144,1
145,0
146,0
147,6
148,3
149,2
150,0
151,6
152,2
153,2
154,3
155,6
156,3
157,5
158,6
159,0
160,4
161,4
162,5
163,0
164,3
165,0
166,0
167,2
168,5
169,0
170,3
171,6
172,7
173,4
174,3
175,3
176,6
177,0
178,0
179,3
180,3
181,6
182,1
183,4
184,3
185,0
186,2
187,0
188,5
189,2
190,7
191,7
192,5
193,4
194,1
195,4
196,4
197,6
198,0
199,0
200,0
201,7
202,2
203,0
204,6
205,1
206,3
207,2
208,4
209,3
210,1
211,1
212,4
213,5
214,0
215,5
216,3
217,1
218,0
219,7
220,1
221,2
222,4
223,3
224,6
225,0
226,3
227,6
228,0
229,0
230,5
231,3
232,0
233,0
234,3
235,6
236,0
237,3
238,4
239,2
240,0
241,1
242,0
243,2
244,2
245,0
246,0
247,4
248,1
249,0
250,7
251,1
252,3
253,0
254,7
255,3
256,5
257,0
258,6
259,5
260,4
261,4
262,3
263,0
264,6
265,5
266,7
267,4
268,3
269,6
270,0
271,2
272,3
273,7
274,6
275,2
276,6
277,7
278,3
279,6
280,2
281,4
282,1
283,3
284,0
285,1
286,0
287,4
288,6
289,7
290,6
291,4
292,0
293,2
294,2
295,0
296,5
297,7
298,1
299,3
300,1
301,0
302,0
303,0
304,2
305,6
306,3
307,7
308,0
309,5
310,3
311,1
312,0
313,5
314,2
315,2
316,0
317,3
318,6
319,3
320,2
321,3
322,4
323,0
324,0
325,4
326,2
327,0
328,0
329,1
330,3
331,0
332,5
333,6
334,1
335,0
336,3
337,0
338,0
339,4
340,0
341,3
342,3
343,4
344,6
345,0
346,3
347,3
348,3
349,0
350,0
351,3
352,4
353,6
354,1
355,3
356,6
357,6
358,2
359,7
360,4
361,2
362,5
363,0
364,1
365,1
366,6
367,4
368,0
369,7
370,2
371,3
372,4
373,4
374,0
375,6
376,1
377,3
378,3
379,4
380,0
381,6
382,6
383,2
384,6
385,7
386,2
387,3
388,6
389,6
390,0
391,2
392,0
393,3
394,0
395,0
396,0
397,1
398,5
399,3
400,3
401,3
402,1
403,1
404,5
405,4
406,3
407,2
408,6
409,2
410,7
411,3
412,0
413,1
414,0
415,0
416,2
417,5
418,0
419,0
420,2
421,1
422,0
423,2
424,0
425,0
426,6
427,2
428,5
429,7
430,7
431,2
432,7
433,2
434,4
435,4
436,4
437,0
438,3
439,3
440,4
441,1
442,0
443,4
444,1
445,3
446,3
447,2
448,2
449,0
450,6
451,2
452,2
453,0
454,3
455,1
456,4
457,3
458,2
459,2
460,6
461,1
462,6
463,3
464,6
465,6
466,2
467,4
