,Predicted
0,control
1,bipolar
2,bipolar
3,bipolar
4,control
5,PTSD
6,control
7,bipolar
8,suicidal
9,PTSD
10,control
11,control
12,bipolar
13,bipolar
14,control
15,bipolar
16,eating disorder
17,bipolar
18,bipolar
19,eating disorder
20,control
21,suicidal
22,PTSD
23,control
24,bipolar
25,bipolar
26,control
27,control
28,eating disorder
29,schizophrenia
30,schizophrenia
31,control
32,control
33,bipolar
34,control
35,control
36,control
37,suicidal
38,bipolar
39,anxiety
40,control
41,control
42,bipolar
43,PTSD
44,depression
45,bipolar
46,control
47,bipolar
48,bipolar
49,bipolar
50,bipolar
51,bipolar
52,control
53,anxiety
54,bipolar
55,bipolar
56,bipolar
57,schizophrenia
58,bipolar
59,schizophrenia
60,eating disorder
61,bipolar
62,control
63,control
64,bipolar
65,control
66,control
67,eating disorder
68,control
69,control
70,schizophrenia
71,bipolar
72,suicidal
73,bipolar
74,PTSD
75,anxiety
76,control
77,control
78,control
79,control
80,control
81,control
82,PTSD
83,bipolar
84,control
85,bipolar
86,control
87,bipolar
88,schizophrenia
89,bipolar
90,bipolar
91,control
92,bipolar
93,control
94,eating disorder
95,schizophrenia
96,eating disorder
97,control
98,eating disorder
99,bipolar
100,schizophrenia
101,control
102,bipolar
103,eating disorder
104,control
105,bipolar
106,control
107,PTSD
108,PTSD
109,control
110,schizophrenia
111,eating disorder
112,bipolar
113,eating disorder
114,control
115,schizophrenia
116,bipolar
117,bipolar
118,control
119,control
120,control
121,control
122,bipolar
123,schizophrenia
124,PTSD
125,control
126,bipolar
127,control
128,control
129,control
130,control
131,control
132,suicidal
133,suicidal
134,bipolar
135,schizophrenia
136,control
137,bipolar
138,bipolar
139,bipolar
140,schizophrenia
141,control
142,anxiety
143,control
144,bipolar
145,PTSD
146,bipolar
147,bipolar
148,control
149,control
150,bipolar
151,eating disorder
152,bipolar
153,control
154,bipolar
155,PTSD
156,control
157,control
158,eating disorder
159,control
160,bipolar
161,control
162,schizophrenia
163,bipolar
164,bipolar
165,control
166,PTSD
167,control
168,control
169,control
170,PTSD
171,eating disorder
172,control
173,bipolar
174,bipolar
175,control
176,eating disorder
177,control
178,bipolar
179,bipolar
180,bipolar
181,bipolar
182,anxiety
183,bipolar
184,schizophrenia
185,control
186,suicidal
187,PTSD
188,bipolar
189,bipolar
190,control
191,control
192,control
193,bipolar
194,anxiety
195,bipolar
196,bipolar
197,PTSD
198,PTSD
199,control
200,control
201,control
202,control
203,schizophrenia
204,PTSD
205,control
206,control
207,bipolar
208,bipolar
209,bipolar
210,PTSD
211,anxiety
212,bipolar
213,PTSD
214,control
215,schizophrenia
216,control
217,control
218,control
219,control
220,anxiety
221,bipolar
222,bipolar
223,depression
224,bipolar
225,control
226,control
227,eating disorder
228,control
229,control
230,schizophrenia
231,bipolar
232,bipolar
233,control
234,control
235,control
236,bipolar
237,bipolar
238,control
239,control
240,bipolar
241,bipolar
242,bipolar
243,depression
244,bipolar
245,PTSD
246,bipolar
247,bipolar
248,bipolar
249,PTSD
250,control
251,anxiety
252,bipolar
253,PTSD
254,control
255,control
256,bipolar
257,bipolar
258,control
259,PTSD
260,control
261,control
262,bipolar
263,bipolar
264,eating disorder
265,schizophrenia
266,control
267,bipolar
268,bipolar
269,control
270,control
271,depression
272,suicidal
273,control
274,eating disorder
275,bipolar
276,eating disorder
277,control
278,bipolar
279,eating disorder
280,suicidal
281,bipolar
282,anxiety
283,control
284,PTSD
285,anxiety
286,PTSD
287,bipolar
288,eating disorder
289,control
290,eating disorder
291,bipolar
292,control
293,suicidal
294,suicidal
295,PTSD
296,PTSD
297,control
298,bipolar
299,control
300,control
301,PTSD
302,bipolar
303,schizophrenia
304,bipolar
305,bipolar
306,control
307,control
308,control
309,schizophrenia
310,depression
311,anxiety
312,schizophrenia
313,schizophrenia
314,suicidal
315,bipolar
316,control
317,anxiety
318,bipolar
319,control
320,control
321,control
322,control
323,bipolar
324,control
325,bipolar
326,bipolar
327,bipolar
328,PTSD
329,anxiety
330,control
331,bipolar
332,schizophrenia
333,control
334,control
335,control
336,bipolar
337,bipolar
338,bipolar
339,PTSD
340,PTSD
341,bipolar
342,control
343,bipolar
344,bipolar
345,control
346,control
347,control
348,depression
349,bipolar
350,bipolar
351,bipolar
352,bipolar
353,eating disorder
354,control
355,anxiety
356,eating disorder
357,eating disorder
358,PTSD
359,control
360,bipolar
361,control
362,bipolar
363,control
364,bipolar
365,anxiety
366,control
367,control
368,PTSD
369,control
370,control
371,control
372,bipolar
373,bipolar
374,control
375,schizophrenia
376,anxiety
377,bipolar
378,control
379,bipolar
380,PTSD
381,control
382,bipolar
383,control
384,control
385,control
386,control
387,control
388,control
389,PTSD
390,control
391,suicidal
392,control
393,bipolar
394,bipolar
395,PTSD
396,control
397,bipolar
398,schizophrenia
399,bipolar
400,control
401,bipolar
402,anxiety
403,anxiety
404,control
405,bipolar
406,bipolar
407,bipolar
408,eating disorder
409,bipolar
410,control
411,PTSD
412,bipolar
413,bipolar
414,control
415,PTSD
416,control
417,schizophrenia
418,control
419,bipolar
420,suicidal
421,control
422,PTSD
423,suicidal
424,schizophrenia
425,PTSD
426,bipolar
427,suicidal
428,schizophrenia
429,control
430,control
431,bipolar
432,control
433,control
434,control
435,bipolar
436,bipolar
437,PTSD
438,control
439,bipolar
440,bipolar
441,control
442,control
443,control
444,control
445,control
446,bipolar
447,control
448,control
449,control
450,bipolar
451,suicidal
452,suicidal
453,control
454,bipolar
455,bipolar
456,bipolar
457,control
458,bipolar
459,control
460,control
461,bipolar
462,eating disorder
463,bipolar
464,eating disorder
465,control
466,bipolar
467,control
468,bipolar
469,bipolar
470,control
471,bipolar
472,bipolar
473,control
474,bipolar
475,bipolar
476,control
477,bipolar
478,depression
479,bipolar
480,bipolar
481,bipolar
482,bipolar
483,control
484,anxiety
485,schizophrenia
486,depression
487,control
488,bipolar
489,control
490,eating disorder
491,bipolar
492,PTSD
493,control
