,Predicted
0,suicidal
1,eating disorder
2,anxiety
3,control
4,schizophrenia
5,control
6,control
7,anxiety
8,suicidal
9,PTSD
10,suicidal
11,control
12,control
13,depression
14,suicidal
15,depression
16,eating disorder
17,PTSD
18,depression
19,eating disorder
20,eating disorder
21,suicidal
22,PTSD
23,eating disorder
24,anxiety
25,suicidal
26,schizophrenia
27,depression
28,eating disorder
29,bipolar
30,schizophrenia
31,PTSD
32,PTSD
33,bipolar
34,control
35,suicidal
36,anxiety
37,suicidal
38,bipolar
39,anxiety
40,control
41,bipolar
42,depression
43,eating disorder
44,depression
45,depression
46,control
47,bipolar
48,PTSD
49,suicidal
50,schizophrenia
51,control
52,suicidal
53,anxiety
54,eating disorder
55,depression
56,PTSD
57,control
58,suicidal
59,schizophrenia
60,control
61,depression
62,suicidal
63,suicidal
64,eating disorder
65,control
66,PTSD
67,eating disorder
68,control
69,depression
70,schizophrenia
71,bipolar
72,suicidal
73,control
74,bipolar
75,PTSD
76,suicidal
77,suicidal
78,PTSD
79,depression
80,depression
81,schizophrenia
82,PTSD
83,eating disorder
84,control
85,anxiety
86,schizophrenia
87,control
88,schizophrenia
89,schizophrenia
90,suicidal
91,control
92,depression
93,bipolar
94,eating disorder
95,schizophrenia
96,eating disorder
97,suicidal
98,eating disorder
99,depression
100,schizophrenia
101,PTSD
102,eating disorder
103,eating disorder
104,suicidal
105,anxiety
106,schizophrenia
107,anxiety
108,PTSD
109,PTSD
110,schizophrenia
111,eating disorder
112,anxiety
113,eating disorder
114,PTSD
115,eating disorder
116,PTSD
117,suicidal
118,control
119,suicidal
120,schizophrenia
121,depression
122,bipolar
123,eating disorder
124,schizophrenia
125,control
126,bipolar
127,control
128,PTSD
129,PTSD
130,control
131,control
132,suicidal
133,depression
134,control
135,schizophrenia
136,suicidal
137,PTSD
138,anxiety
139,anxiety
140,schizophrenia
141,depression
142,anxiety
143,control
144,anxiety
145,PTSD
146,suicidal
147,eating disorder
148,depression
149,suicidal
150,PTSD
151,eating disorder
152,suicidal
153,suicidal
154,depression
155,eating disorder
156,anxiety
157,schizophrenia
158,eating disorder
159,control
160,bipolar
161,bipolar
162,schizophrenia
163,PTSD
164,depression
165,PTSD
166,PTSD
167,depression
168,control
169,PTSD
170,bipolar
171,eating disorder
172,control
173,eating disorder
174,anxiety
175,depression
176,eating disorder
177,schizophrenia
178,PTSD
179,depression
180,depression
181,eating disorder
182,anxiety
183,bipolar
184,bipolar
185,PTSD
186,suicidal
187,PTSD
188,schizophrenia
189,suicidal
190,control
191,control
192,schizophrenia
193,schizophrenia
194,anxiety
195,bipolar
196,bipolar
197,eating disorder
198,anxiety
199,control
200,control
201,control
